Channel,Count
-3,0
-2,0
-1,11879
0,1091232
1,534831
2,21715
3,32
4,16
5,3
6,5
7,5
8,3
9,0
10,3
11,0
12,0
13,2
14,2
15,1
16,1
17,0
18,0
19,1
20,0
21,0
22,0
23,0
24,0
25,1
26,0
27,0
28,1
29,0
30,0
31,0
32,1
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,1
45,0
46,0
47,0
48,0
49,0
50,0
51,1
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,2
62,1
63,0
64,1
65,0
66,0
67,1
68,2
69,0
70,0
71,0
72,1
73,0
74,1
75,0
76,0
77,1
78,2
79,0
80,0
81,0
82,2
83,0
84,0
85,1
86,0
87,1
88,1
89,0
90,1
91,0
92,0
93,0
94,3
95,0
96,1
97,0
98,1
99,2
100,1
101,0
102,1
103,1
104,4
105,9
106,7
107,18
108,59
109,187
110,312
111,500
112,477
113,211
114,27
115,1
116,2
117,7
118,19
119,30
120,16
121,7
122,3
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
